cell,rawvalue,finPhase
9390,9.25,367
9391,9.05,367
9392,9.05,367
9393,9,367
9394,9.05,367
9395,9.1,367
9396,9.1,367
9397,9.05,367
9398,9.1,367
9399,10.2,367
9400,10.25,367
9401,10.25,367
9446,9.55,367
9447,9.3,367
9448,9.05,367
9449,9.05,367
9450,9.6,367
9451,9.25,367
9452,9.1,367
9453,9.1,367
9454,10.05,367
9455,10.15,367
9456,10.35,367
9457,10.35,367
9494,9.6,367
9495,9.95,367
9496,9.35,367
9497,9.65,367
9498,10.3,367
9499,9.55,367
9500,9.2,367
9501,9.1,367
9502,10.05,367
9503,10.05,367
9504,10.25,367
9536,10.3,367
9537,10.15,367
9538,9.3,367
9539,9.45,367
9540,10.35,367
9541,9.75,367
9542,9.55,367
9543,9.25,367
9544,9.95,367
9545,10,367
9546,10.2,367
9580,9.8,367
9581,10.15,367
9582,10.25,367
9583,10.3,367
9584,9.75,367
9585,9.5,367
9586,9.15,367
9587,8.85,367
9622,7.45,367
9623,8.850000000000001,367
9624,9,367
9625,9.1,367
9666,7.1,367
9667,7.45,367
7367,7.5,367
7368,6.8,367
7449,8.4,367
7450,7.8,367
7451,7.1,367
7452,6.35,367
7533,8.7,367
7534,7.7,367
7535,7,367
7536,5.6,367
7612,9.45,367
7614,9.25,367
7615,9.25,367
7616,7.8,367
7617,7.2,367
7618,6.050000000000001,367
7693,9.8,367
7694,9.7,367
7695,9.45,367
7696,9.05,367
7697,9.05,367
7698,9.15,367
7699,7.8,367
7700,7.2,367
7701,5.75,367
7773,9.9,367
7774,9.8,367
7775,9.45,367
7776,9.6,367
7777,9.7,367
7778,9.6,367
7779,9.25,367
7780,8.55,367
7781,8.399999999999999,367
7782,8.25,367
7783,7.550000000000001,367
7854,9.95,367
7855,9.85,367
7856,9.75,367
7857,8.75,367
7858,8.7,367
7859,9.25,367
7860,9.15,367
7861,8.55,367
7862,8.55,367
7863,8.55,367
7864,8.45,367
7865,7.8,367
7866,7.7,367
7938,9.9,367
7939,9.65,367
7940,8.7,367
7941,8.55,367
7942,8.55,367
7943,8.55,367
7944,8.55,367
7945,8.35,367
7946,8.1,367
7947,8.2,367
7948,7.15,367
7949,6.949999999999999,367
8023,9.9,367
8024,9.6,367
8025,8.5,367
8026,8.45,367
8027,8.35,367
8028,8.25,367
8029,8.4,367
8030,8.149999999999999,367
8031,7.449999999999999,367
8032,7.35,367
8033,7.35,367
8034,6.949999999999999,367
8114,9.9,367
8115,9.8,367
8116,8.8,367
8117,8.8,367
8118,8.6,367
8119,8.6,367
8120,8.3,367
8121,7.449999999999999,367
8122,7.35,367
8123,7.2,367
8124,7.449999999999999,367
8125,7.65,367
8126,7.5,367
8208,8.850000000000001,367
8209,8.8,367
8210,8.6,367
8211,8.3,367
8212,7.449999999999999,367
8213,7.35,367
8214,7.25,367
8215,7.6,367
8216,7.449999999999999,367
8217,7.4,367
8218,7.05,367
8301,8.7,367
8302,8.5,367
8303,7.550000000000001,367
8304,7.8,367
8305,7.85,367
8306,7.699999999999999,367
8307,7.449999999999999,367
8308,7.25,367
8309,7.3,367
8394,7.699999999999999,367
8395,7.9,367
8396,7.85,367
8397,7.449999999999999,367
8398,7.55,367
8399,7.35,367
8400,7.199999999999999,367
8401,7.45,367
8402,7.25,367
8485,7.8,367
8486,7.75,367
8487,7.9,367
8488,7.75,367
8489,7.65,367
8490,7.35,367
8491,7.3,367
8492,7.25,367
8576,7.95,367
8577,7.699999999999999,367
8578,7.85,367
8579,7.8,367
8580,7.5,367
8581,7.6,367
8582,7.45,367
8667,7.95,367
8668,7.95,367
8669,7.95,367
8670,7.449999999999999,367
8760,8.5,367
8507,10.05,367
8508,10.1,367
8597,10.1,367
8598,10.1,367
8599,10,367
8600,10,367
8687,10.1,367
8688,9.9,367
8689,9.7,367
8690,9.65,367
8691,9.8,367
8776,10.1,367
8777,10.15,367
8778,10.25,367
